1_7_nega,2_6_nega,12.134066474741275
0_3_posi,2_1_posi,12.64719184309766
7_0_posi,1_2_nega,11.216845905076566
7_0_posi,2_2_nega,10.191324611969229
6_4_posi,2_2_posi,10.63278842409197
6_4_posi,1_1_nega,10.2148496287362
5_2_posi,3_1_posi,10.132408297986299
5_2_posi,1_1_nega,10.742717749226793
5_2_posi,3_1_nega,10.06905410439251
5_2_posi,2_1_posi,13.603368462209424
5_2_posi,2_2_nega,10.252797863193672
5_1_posi,7_6_posi,10.379228050661297
5_1_posi,2_0_nega,10.465615442790664
5_1_posi,3_2_posi,10.165792084379534
0_7_posi,2_0_posi,11.42289021282957
0_7_posi,7_6_posi,11.338082818899471
0_7_posi,2_2_posi,10.192676458909723
0_7_posi,3_2_posi,11.972192401457336
0_7_posi,3_1_posi,10.750747317427303
0_7_posi,2_2_nega,10.134708647134396
0_0_nega,3_0_posi,12.23626784924635
0_0_nega,3_3_nega,10.44402808825614
0_0_nega,1_1_posi,12.040805145364462
0_0_nega,2_0_posi,11.934451293951625
0_0_nega,3_6_posi,10.366190823570209
0_0_nega,2_2_posi,10.493010948583661
0_0_nega,3_2_posi,11.8622969019532
0_0_nega,1_2_nega,12.771838872868097
0_0_nega,3_1_posi,12.708906071805423
0_0_nega,1_1_nega,11.121133776930163
0_0_nega,2_1_posi,11.540363219109373
0_0_nega,7_6_nega,12.497375686242542
0_0_nega,2_2_nega,12.380553316134728
0_6_posi,4_1_posi,10.731826492543869
0_6_posi,3_0_posi,10.030595913757532
0_6_posi,1_1_posi,12.250260482087988
0_6_posi,2_0_posi,10.021108304360666
0_6_posi,4_1_nega,10.096218079596438
0_6_posi,7_6_posi,11.967964386044443
0_6_posi,3_2_nega,10.328910291573154
0_6_posi,2_2_posi,13.834364877608628
0_6_posi,2_0_nega,10.787994918993242
0_6_posi,2_1_nega,10.402701659492052
0_6_posi,3_2_posi,12.193678938987391
0_6_posi,1_2_nega,10.714854185379378
0_6_posi,3_1_posi,13.398170529613703
0_6_posi,1_1_nega,12.519905037987574
0_6_posi,3_1_nega,12.892632880156354
0_6_posi,2_1_posi,12.765721674114841
0_6_posi,7_6_nega,10.778061804000693
0_6_posi,2_2_nega,12.459962987497178
6_1_posi,3_3_nega,10.032135754674265
6_1_posi,1_1_posi,10.10510376628246
6_1_posi,2_0_posi,12.327024955080459
6_1_posi,3_6_posi,10.996505612245059
6_1_posi,7_6_posi,11.013644732856573
6_1_posi,2_2_posi,11.59343797830561
6_1_posi,2_0_nega,12.691711357235397
